stimulus,label,is_match,shouldpress,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,practice1.stopped,key_resp_p.keys,p_feedback.started,text_15.started,text_15.stopped,p_feedback.stopped,key_resp_p.rt,key_resp_p.duration,start2.started,start_2.started,key_resp_11.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.002617300022393465,0.006350999930873513,0.006350999930873513,8.094038599985652,space,8.068833900033496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_11,001,2024-11-29_13h59.02.073,untitled,2024.1.5,None,2024-11-29 13h59.14.255122 +0530,
,,,,,,,,,,,,,,,,,8.094062599935569,8.108283299952745,8.108283299952745,39.725507299997844,space,31.615077399997972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_11,001,2024-11-29_13h59.02.073,untitled,2024.1.5,None,2024-11-29 13h59.14.255122 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,39.72553419996984,39.75897049997002,39.75897049997002,39.75897049997002,39.75897049997002,39.75897049997002,39.75897049997002,109.02657680003904,space,69.25204300007317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_11,001,2024-11-29_13h59.02.073,untitled,2024.1.5,None,2024-11-29 13h59.14.255122 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.02660740003921,109.0427583999699,109.0427583999699,116.8806352999527,space,7.82577980007045,None,,,,,,,,,,,,,,,,,,,,,,,A_11,001,2024-11-29_13h59.02.073,untitled,2024.1.5,None,2024-11-29 13h59.14.255122 +0530,
triangle.png,you,1,M,0,0,0,1,116.89647000003606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.88678790000267,116.89647000003606,117.38004079996608,117.38004079996608,117.38004079996608,117.38004079996608,117.39673839998432,117.68003169994336,117.68003169994336,117.68003169994336,118.48041580000427,118.46424200001638,None,118.46447160001844,118.48041580000427,119.48088769998867,119.4650954999961,,,,,,A_11,001,2024-11-29_13h59.02.073,untitled,2024.1.5,None,2024-11-29 13h59.14.255122 +0530,
triangle.png,stranger,0,Z,0,1,1,3,119.48088769998867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.46533469995484,119.48088769998867,119.98145990003832,119.98145990003832,119.98145990003832,119.98145990003832,119.98145990003832,120.281380899949,120.281380899949,120.281380899949,121.08176039997488,121.06569459999446,None,121.06582889996935,121.08176039997488,122.08229259995278,122.06614549993537,,,,,,A_11,001,2024-11-29_13h59.02.073,untitled,2024.1.5,None,2024-11-29 13h59.14.255122 +0530,
square.png,stranger,1,M,0,2,2,0,122.08229259995278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.06638019997627,122.08229259995278,122.5828514000168,122.5828514000168,122.5828514000168,122.5828514000168,122.5828514000168,122.88264930003788,122.88264930003788,122.88264930003788,123.68301349994726,123.66703889996279,None,123.66718889994081,123.68301349994726,124.68386470002588,124.66747769992799,,,,,,A_11,001,2024-11-29_13h59.02.073,untitled,2024.1.5,None,2024-11-29 13h59.14.255122 +0530,
square.png,you,0,Z,0,3,3,2,124.68386470002588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.66776510002092,124.68386470002588,125.18407069996465,125.18407069996465,125.18407069996465,125.18407069996465,125.18407069996465,125.48410170001443,125.48410170001443,125.48410170001443,126.28432760003489,126.26847340003587,None,126.26860720000695,126.28432760003489,127.28509979997762,127.26872459996957,,,,,,A_11,001,2024-11-29_13h59.02.073,untitled,2024.1.5,None,2024-11-29 13h59.14.255122 +0530,
triangle.png,stranger,0,Z,1,0,4,3,127.28509979997762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.26895759999752,127.28509979997762,127.7852411000058,127.7852411000058,127.7852411000058,127.7852411000058,127.7852411000058,128.08546450000722,128.08546450000722,128.08546450000722,128.8858804999618,128.86952970002312,None,128.8696709999349,128.8858804999618,129.8862967999885,129.87008020002395,,,,,,A_11,001,2024-11-29_13h59.02.073,untitled,2024.1.5,None,2024-11-29 13h59.14.255122 +0530,
square.png,you,0,Z,1,1,5,2,129.8862967999885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.87031689996365,129.8862967999885,130.38683289999608,130.38683289999608,130.38683289999608,130.38683289999608,130.38683289999608,130.68676850001793,130.68676850001793,130.68676850001793,131.48707110004034,131.47086679993663,None,131.47100439993665,131.48707110004034,132.48766089999117,132.47150670003612,,,,,,A_11,001,2024-11-29_13h59.02.073,untitled,2024.1.5,None,2024-11-29 13h59.14.255122 +0530,
