stimulus_b,label_b,is_match_b,shouldpress_b,stimulus_2b,label_2b,is_match_2b,shouldpress_2b,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,b1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,b1.stopped,key_resp_p.keys,b_feedback.started,text_15.started,b_feedback.stopped,text_15.stopped,key_resp_p.rt,key_resp_p.duration,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_instructions_2.started,text_10.started,key_resp_7.started,self_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_starting_3.started,text_12.started,key_resp_9.started,self_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_2.stopped,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,practice2.stopped,key_resp_6_p.keys,key_resp_6_p.rt,key_resp_6_p.duration,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,key_resp_6_p.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,key_resp_6.stopped,trial_2.stopped,key_resp_6.keys,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.rt,key_resp_6.duration,Thank_you.started,text_7.started,text_7.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027680999992298894,0.006591400000615977,0.006591400000615977,5.474583700000949,space,5.44279010000173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.474612099998922,5.479688899999019,5.479688899999019,28.849995000004128,space,23.357330899998487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.850021500002185,28.883111000002827,28.883111000002827,28.883111000002827,28.883111000002827,28.883111000002827,28.883111000002827,81.05875820000074,space,52.161616599994886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0587863000037,81.07530470000347,81.07530470000347,86.04507100000046,space,4.968915700002981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
square.png,stranger,0,Z,,,,,0,0,0,2,,,,,,,,,,,,,86.06634830000257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.05433320000157,86.06634830000257,86.56089400000201,86.56089400000201,86.56089400000201,86.56089400000201,86.5773599000022,86.86081569999806,86.86081569999806,86.86081569999806,87.6613056999995,87.64505640000425,None,87.64527169999928,87.6613056999995,88.64518600000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
triangle.png,you,0,Z,,,,,0,1,1,3,,,,,,,,,,,,,88.66168830000242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.6454389999999,88.66168830000242,89.14579760000197,89.14579760000197,89.14579760000197,89.14579760000197,89.16215419999935,89.44570589999785,89.44570589999785,89.44570589999785,90.24588429999858,90.22974629999953,None,90.22988359999727,90.24588429999858,91.23019799999747,91.24633690000337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
square.png,you,1,M,,,,,0,2,2,0,,,,,,,,,,,,,91.24633690000337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2304437999992,91.24633690000337,91.7468119000041,91.7468119000041,91.7468119000041,91.7468119000041,91.7468119000041,92.04690320000373,92.04690320000373,92.04690320000373,92.8473840000006,92.83093190000363,None,92.83107120000204,92.8473840000006,93.83157310000388,93.8478615999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
triangle.png,stranger,1,M,,,,,0,3,3,1,,,,,,,,,,,,,93.8478615999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.83181280000281,93.8478615999993,94.34822659999918,94.34822659999918,94.34822659999918,94.34822659999918,94.34822659999918,94.64811980000377,94.64811980000377,94.64811980000377,,94.74888490000012,z,94.74923080000008,94.76492590000271,95.7490816999998,95.76556349999737,0.3884440000038012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
triangle.png,you,0,Z,,,,,1,0,4,3,,,,,,,,,,,,,95.76556349999737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.74932350000017,95.76556349999737,96.24926470000355,96.24926470000355,96.24926470000355,96.24926470000355,96.26586769999994,96.54917269999714,96.54917269999714,96.54917269999714,97.34970759999851,97.33346660000097,None,97.33359890000429,97.34970759999851,98.33372670000244,98.3501940999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
square.png,stranger,0,Z,,,,,1,1,5,2,,,,,,,,,,,,,98.3501940999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.33396489999723,98.3501940999995,98.85045420000097,98.85045420000097,98.85045420000097,98.85045420000097,98.85045420000097,99.15038359999744,99.15038359999744,99.15038359999744,99.95078949999879,99.93455610000092,None,99.93469180000102,99.95078949999879,100.93523799999821,100.95143330000428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_13,001,2024-11-30_11h44.07.012,untitled,2024.1.5,None,2024-11-30 11h44.21.858727 +0530,
