stimulus_b,label_b,is_match_b,shouldpress_b,stimulus_2b,label_2b,is_match_2b,shouldpress_2b,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,b1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,b1.stopped,key_resp_p.keys,b_feedback.started,text_15.started,text_15.stopped,b_feedback.stopped,key_resp_p.rt,key_resp_p.duration,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_instructions_2.started,text_10.started,key_resp_7.started,self_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_starting_3.started,text_12.started,key_resp_9.started,self_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_2.stopped,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,practice2.stopped,key_resp_6_p.keys,key_resp_6_p.rt,key_resp_6_p.duration,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,trial_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.stopped,Thank_you.started,text_7.started,text_7.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026836000033654273,0.00636060000397265,0.00636060000397265,4.9678890999930445,space,4.943924000006518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_14,001,2024-11-30_13h02.09.314,untitled,2024.1.5,None,2024-11-30 13h02.22.455829 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.967912799998885,4.982211599999573,4.982211599999573,23.492485800001305,space,18.49579960000119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_14,001,2024-11-30_13h02.09.314,untitled,2024.1.5,None,2024-11-30 13h02.22.455829 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.492511799995555,23.525776299997233,23.525776299997233,23.525776299997233,23.525776299997233,23.525776299997233,23.525776299997233,69.59867540000414,space,46.069507800013525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_14,001,2024-11-30_13h02.09.314,untitled,2024.1.5,None,2024-11-30 13h02.22.455829 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.59870370000135,69.61444699999993,69.61444699999993,83.83909919999132,space,14.20881169999484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_14,001,2024-11-30_13h02.09.314,untitled,2024.1.5,None,2024-11-30 13h02.22.455829 +0530,
square.png,you,1,M,,,,,0,0,0,0,,,,,,,,,,,,,83.85570559999906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.84517980000237,83.85570559999906,84.33848730000318,84.33848730000318,84.33848730000318,84.33848730000318,84.3548679999949,84.63835339999059,84.63835339999059,84.63835339999059,85.4387696999911,85.4226278999995,None,85.4228323999996,85.4387696999911,86.43940869999642,86.42304039999726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_14,001,2024-11-30_13h02.09.314,untitled,2024.1.5,None,2024-11-30 13h02.22.455829 +0530,
triangle.png,you,0,Z,,,,,0,1,1,3,,,,,,,,,,,,,86.43940869999642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.42326989999856,86.43940869999642,86.93988150000223,86.93988150000223,86.93988150000223,86.93988150000223,86.93988150000223,,,,,87.2074500000017,z,87.20777290000115,87.22312059999967,88.2233930999937,88.20725779999339,0.26333830000658054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_14,001,2024-11-30_13h02.09.314,untitled,2024.1.5,None,2024-11-30 13h02.22.455829 +0530,
triangle.png,stranger,1,M,,,,,0,2,2,1,,,,,,,,,,,,,88.2233930999937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.20748989999993,88.2233930999937,88.70737309999822,88.70737309999822,88.70737309999822,88.70737309999822,88.7240199999942,89.00735010000062,89.00735010000062,89.00735010000062,,88.99168730000383,z,88.9919319999899,89.00735010000062,90.00798249999934,89.99170199999935,0.2784436999936588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_14,001,2024-11-30_13h02.09.314,untitled,2024.1.5,None,2024-11-30 13h02.22.455829 +0530,
square.png,stranger,0,Z,,,,,0,3,3,2,,,,,,,,,,,,,90.00798249999934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.99193389998982,90.00798249999934,90.49179339999682,90.49179339999682,90.49179339999682,90.49179339999682,90.50809950000257,,,,,90.70907070000248,z,90.70931740000378,90.72487179999007,91.72541420000198,91.70931419999397,0.20425399999658111,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_14,001,2024-11-30_13h02.09.314,untitled,2024.1.5,None,2024-11-30 13h02.22.455829 +0530,
triangle.png,you,0,Z,,,,,1,0,4,3,,,,,,,,,,,,,91.72541420000198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.70954349999374,91.72541420000198,92.20917229999031,92.20917229999031,92.20917229999031,92.20917229999031,92.22556500000064,,,,,92.42675139999483,z,92.42699269999866,92.44234189999406,93.44311340000422,93.42676279999432,0.2126328000013018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_14,001,2024-11-30_13h02.09.314,untitled,2024.1.5,None,2024-11-30 13h02.22.455829 +0530,
square.png,you,1,M,,,,,1,1,5,0,,,,,,,,,,,,,93.44311340000422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.42699229999562,93.44311340000422,93.92655669999658,93.92655669999658,93.92655669999658,93.92655669999658,93.94311729999026,,,,,94.07738760000211,z,94.0776360000018,94.09320119999757,95.09375099999306,95.07765870000003,0.14056169999821577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_14,001,2024-11-30_13h02.09.314,untitled,2024.1.5,None,2024-11-30 13h02.22.455829 +0530,
