stimulus_b,label_b,is_match_b,shouldpress_b,stimulus_2b,label_2b,is_match_2b,shouldpress_2b,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,b1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,key_resp_p.stopped,b1.stopped,key_resp_p.keys,b_feedback.started,text_15.started,text_15.stopped,b_feedback.stopped,key_resp_p.rt,key_resp_p.duration,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_instructions_2.started,text_10.started,key_resp_7.started,self_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_starting_3.started,text_12.started,key_resp_9.started,self_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_2.stopped,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,practice2.stopped,key_resp_6_p.keys,key_resp_6_p.rt,key_resp_6_p.duration,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,key_resp_6_p.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,trial_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.stopped,Thank_you.started,text_7.started,text_7.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.002766299992799759,0.006531500024721026,0.006531500024721026,1.1194343999959528,space,1.1044226000085473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_5,001,2024-11-28_11h35.19.028,untitled,2024.1.5,None,2024-11-28 11h35.31.908811 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1194593999534845,1.1338585999328643,1.1338585999328643,25.096993100014515,space,23.9465073000174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_5,001,2024-11-28_11h35.19.028,untitled,2024.1.5,None,2024-11-28 11h35.31.908811 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.09701979998499,25.130989799974486,25.130989799974486,25.130989799974486,25.130989799974486,25.130989799974486,25.130989799974486,69.35204919998068,space,44.21315930003766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_5,001,2024-11-28_11h35.19.028,untitled,2024.1.5,None,2024-11-28 11h35.31.908811 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.35207659995649,69.36826909997035,69.36826909997035,79.27413789997809,space,9.903367900056764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_5,001,2024-11-28_11h35.19.028,untitled,2024.1.5,None,2024-11-28 11h35.31.908811 +0530,
square.png,stranger,0,Z,,,,,0,0,0,2,,,,,,,,,,,,,79.29186839994509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.280333600007,79.29186839994509,79.78959009994287,79.78959009994287,79.78959009994287,79.78959009994287,79.80615530000068,80.08945710002445,80.08945710002445,80.08945710002445,80.89035969995894,80.8738372999942,None,80.87404309993144,80.89035969995894,81.89086990000214,81.87428709992673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_5,001,2024-11-28_11h35.19.028,untitled,2024.1.5,None,2024-11-28 11h35.31.908811 +0530,
triangle.png,you,0,Z,,,,,0,1,1,3,,,,,,,,,,,,,81.89086990000214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.87452840001788,81.89086990000214,82.37454939994495,82.37454939994495,82.37454939994495,82.37454939994495,82.39097299997229,82.67468399996869,82.67468399996869,82.67468399996869,,82.90854859992396,m,82.9088744999608,82.92460100003518,83.92530200001784,83.90904359996784,0.5327491000061855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_5,001,2024-11-28_11h35.19.028,untitled,2024.1.5,None,2024-11-28 11h35.31.908811 +0530,
triangle.png,stranger,1,M,,,,,0,2,2,1,,,,,,,,,,,,,83.92530200001784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.90927289996762,83.92530200001784,84.40897260000929,84.40897260000929,84.40897260000929,84.40897260000929,84.42532399995252,84.7088144000154,84.7088144000154,84.7088144000154,,84.90984269999899,z,84.91008389997296,84.92570409993641,85.9261806999566,85.90984969993588,0.4945977999595925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_5,001,2024-11-28_11h35.19.028,untitled,2024.1.5,None,2024-11-28 11h35.31.908811 +0530,
square.png,you,1,M,,,,,0,3,3,0,,,,,,,,,,,,,85.9261806999566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.91008299996611,85.9261806999566,86.40987700002734,86.40987700002734,86.40987700002734,86.40987700002734,86.4265436999267,86.71006850001868,86.71006850001868,86.71006850001868,,86.76082259998657,z,86.76106639998034,86.77667359996121,87.77711020002607,87.76105299999472,0.33833830000367016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_5,001,2024-11-28_11h35.19.028,untitled,2024.1.5,None,2024-11-28 11h35.31.908811 +0530,
triangle.png,you,0,Z,,,,,1,0,4,3,,,,,,,,,,,,,87.77711020002607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.76128420000896,87.77711020002607,88.26072589994874,88.26072589994874,88.26072589994874,88.26072589994874,88.27756900002714,88.56098069995642,88.56098069995642,88.56098069995642,,88.77831620001234,z,88.77855779998936,88.79425609996542,89.79487670003437,89.7787118999986,0.5077073000138626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_5,001,2024-11-28_11h35.19.028,untitled,2024.1.5,None,2024-11-28 11h35.31.908811 +0530,
triangle.png,stranger,1,M,,,,,1,1,5,1,,,,,,,,,,,,,89.79487670003437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.77894490002654,89.79487670003437,90.27881569997407,90.27881569997407,90.27881569997407,90.27881569997407,90.29507699992973,90.57855720003136,90.57855720003136,90.57855720003136,,90.72940880001988,z,90.7296509000007,90.74526849994436,91.74593720003031,91.72945510002319,0.4374002000549808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_5,001,2024-11-28_11h35.19.028,untitled,2024.1.5,None,2024-11-28 11h35.31.908811 +0530,
square.png,stranger,0,Z,,,,,1,2,6,2,,,,,,,,,,,,,91.74593720003031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.72969089995604,91.74593720003031,92.2296728999354,92.2296728999354,92.2296728999354,92.2296728999354,92.24632959999144,92.52954659995157,92.52954659995157,92.52954659995157,,92.76381759997457,m,92.76406660000794,92.7796406999696,93.78000869997777,93.76393769995775,0.5180269000120461,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_5,001,2024-11-28_11h35.19.028,untitled,2024.1.5,None,2024-11-28 11h35.31.908811 +0530,
