stimulus_b,label_b,is_match_b,shouldpress_b,stimulus_2b,label_2b,is_match_2b,shouldpress_2b,p_trials.thisRepN,p_trials.thisTrialN,p_trials.thisN,p_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_trials_2.thisRepN,p_trials_2.thisTrialN,p_trials_2.thisN,p_trials_2.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Intruduction.started,text_3.started,key_resp_2.started,Intruduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,self_other_instructions.started,text_4.started,key_resp_3.started,self_other_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,self_other_info.started,square_image.started,triangle_image.started,self_label.started,other_label.started,key_resp_4.started,text_5.started,self_other_info.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,self_other_starting_2.started,text_6.started,key_resp_5.started,self_other_starting_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,b1.started,p_fication.started,p_fixation_3.started,p_text.started,key_resp_p.started,p_image.started,p_fication.stopped,p_fixation_3.stopped,p_text.stopped,p_image.stopped,b1.stopped,key_resp_p.keys,key_resp_p.rt,key_resp_p.duration,b_feedback.started,text_15.started,text_15.stopped,b_feedback.stopped,key_resp_p.stopped,start2.started,start_2.started,key_resp_11.started,start2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,break_3.started,text_13.started,text_14.started,key_resp_10.started,text_13.stopped,break_3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,self_instructions_2.started,text_10.started,key_resp_7.started,self_instructions_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,self_intro_2.started,circle_image.started,diamond_image.started,Disgusting_self_lable.started,Desirable_self_lable.started,key_resp_8.started,text_11.started,self_intro_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,self_starting_3.started,text_12.started,key_resp_9.started,self_starting_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,practice2.started,p_fixation_2.started,p_fixation_2.stopped,p_fixation_4.started,p_text_8.started,key_resp_6_p.started,p_image_2.started,p_fixation_4.stopped,p_text_8.stopped,p_image_2.stopped,practice2.stopped,key_resp_6_p.keys,key_resp_6_p.rt,key_resp_6_p.duration,feedback_2_p.started,text_16.started,text_16.stopped,feedback_2_p.stopped,key_resp_6_p.stopped,trial_2.started,fixation_2.started,fixation_4.started,text_8.started,key_resp_6.started,image_2.started,fixation_2.stopped,fixation_4.stopped,text_8.stopped,image_2.stopped,trial_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,feedback_2.started,text_9.started,text_9.stopped,feedback_2.stopped,key_resp_6.stopped,Thank_you.started,text_7.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027864999137818813,0.0065784999169409275,0.0065784999169409275,3.3689443999901414,space,3.3248898000456393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_1_,001,2024-11-27_10h43.50.038,untitled,2024.1.5,None,2024-11-27 10h44.05.490984 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.368972699972801,3.374149299925193,3.374149299925193,9.699187899939716,space,6.317106300033629,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_1_,001,2024-11-27_10h43.50.038,untitled,2024.1.5,None,2024-11-27 10h44.05.490984 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.699213100015186,9.73232760000974,9.73232760000974,9.73232760000974,9.73232760000974,9.73232760000974,9.73232760000974,14.334015199914575,space,4.599335000035353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_1_,001,2024-11-27_10h43.50.038,untitled,2024.1.5,None,2024-11-27 10h44.05.490984 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.334040499990806,14.349984499975108,14.349984499975108,18.80299019999802,space,4.437086299993098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_1_,001,2024-11-27_10h43.50.038,untitled,2024.1.5,None,2024-11-27 10h44.05.490984 +0530,
square.png,you,1,M,,,,,0,0,0,0,,,,,,,,,,,,,18.821716899983585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.811768999905325,18.821716899983585,19.30241489992477,19.30241489992477,19.30241489992477,19.30241489992477,19.335650899913162,19.602331599919125,19.602331599919125,19.602331599919125,19.95314839994535,m,0.6361931000137702,None,19.953524200012907,19.969278699951246,20.969705699943006,20.953407499939203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_1_,001,2024-11-27_10h43.50.038,untitled,2024.1.5,None,2024-11-27 10h44.05.490984 +0530,
triangle.png,you,0,Z,,,,,0,1,1,3,,,,,,,,,,,,,20.969705699943006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.95363849995192,20.969705699943006,21.45355420000851,21.45355420000851,21.45355420000851,21.45355420000851,21.470248500001617,21.753623600001447,21.753623600001447,21.753623600001447,22.170924599980935,z,0.7096856000134721,None,22.171164999948815,22.18704109999817,23.187430499936454,23.171278900001198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_1_,001,2024-11-27_10h43.50.038,untitled,2024.1.5,None,2024-11-27 10h44.05.490984 +0530,
triangle.png,stranger,1,M,,,,,0,2,2,1,,,,,,,,,,,,,23.187430499936454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.171512299915776,23.187430499936454,23.671366599970497,23.671366599970497,23.671366599970497,23.671366599970497,23.688030199962668,23.971328699961305,23.971328699961305,23.971328699961305,24.755392199964263,None,,,24.75551909999922,24.771552599966526,25.772320799995214,25.75584389991127,24.771552599966526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_1_,001,2024-11-27_10h43.50.038,untitled,2024.1.5,None,2024-11-27 10h44.05.490984 +0530,
square.png,stranger,0,Z,,,,,0,3,3,2,,,,,,,,,,,,,25.772320799995214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.756073399912566,25.772320799995214,26.27245699998457,26.27245699998457,26.27245699998457,26.27245699998457,26.27245699998457,26.57253739994485,26.57253739994485,26.57253739994485,27.040329199982807,z,0.7519578000064939,None,27.040569699951448,27.05616579996422,28.05678609991446,28.040449099964462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_1_,001,2024-11-27_10h43.50.038,untitled,2024.1.5,None,2024-11-27 10h44.05.490984 +0530,
triangle.png,stranger,1,M,,,,,1,0,4,1,,,,,,,,,,,,,28.05678609991446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.040678399964236,28.05678609991446,28.540541299968027,28.540541299968027,28.540541299968027,28.540541299968027,28.55704230000265,28.84057259990368,28.84057259990368,28.84057259990368,29.37494169990532,m,0.8191583000589162,None,29.375182799994946,29.390644499915652,30.391391600016505,30.375082099926658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_1_,001,2024-11-27_10h43.50.038,untitled,2024.1.5,None,2024-11-27 10h44.05.490984 +0530,
triangle.png,you,0,Z,,,,,1,1,5,3,,,,,,,,,,,,,30.391391600016505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.37531189993024,30.391391600016505,30.87528629996814,30.87528629996814,30.87528629996814,30.87528629996814,30.891410099924542,31.174901699996553,31.174901699996553,31.174901699996553,31.55929499992635,z,0.6754150000633672,None,31.55954149994068,31.575106199947186,32.57570399995893,32.559546099975705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_1_,001,2024-11-27_10h43.50.038,untitled,2024.1.5,None,2024-11-27 10h44.05.490984 +0530,
